アーキア　　　　　　　　　　　　　　　　あーきあ　　　　　　　　　　　　　　　　,N B.     ,古細菌、真核生物
インパクター　　　　　　　　　　　　　　いんぱくたー　　　　　　　　　　　　　　,N B.     ,微細塵埃の数量などを測る器械
インフォームドコンセント　　　　　　　　いんふぉーむどこんせんと　　　　　　　　,N 1.     ,説明をして同意を得る
インフォマティクス　　　　　　　　　　　いんふぉまてぃくす　　　　　　　　　　　,N 1.     ,informatics概念的あるいは理論的な基盤の発達
ＩＮＰＵＴする　　　　　　　　　　　　　いんぷっとする　　　　　　　　　　　　　,D 4.     ,
インプラント　　　　　　　　　　　　　　いんぷらんと　　　　　　　　　　　　　　,N B.     ,
インフルエンサー　　　　　　　　　　　　いんふるえんさー　　　　　　　　　　　　,N 1.     ,影響を与える人
インベストメント　　　　　　　　　　　　いんべすとめんと　　　　　　　　　　　　,N 1.     ,投資ｉｎｖｅｓｔｍｅｎｔ
インボイス　　　　　　　　　　　　　　　いんぼいす　　　　　　　　　　　　　　　,N 1.     ,invoice売り手が買い手に対して適用税率などを伝える
ウィークリーマンション　　　　　　　　　うぃーくりーまんしょん　　　　　　　　　,N 5.     ,
ウィズコロナ　　　　　　　　　　　　　　うぃずころな　　　　　　　　　　　　　　,N 1.     ,
ウイッグ　　　　　　　　　　　　　　　　ういっぐ　　　　　　　　　　　　　　　　,N B.     ,かつら
ウイルス性出血熱　　　　　　　　　　　　ういるすせいしゅっけつねつ　　　　　　　,N 1.     ,Ｖｉｒａｌ　Ｈｅｍｏｒｒｈａｇｉｃ　Ｆｅｖｅｒ
ウイルスバスター　　　　　　　　　　　　ういるすばすたー　　　　　　　　　　　　,N B.     ,ｖｉｒｕｓｂｕｓｔｅｒ
ウインウイン　　　　　　　　　　　　　　ういんういん　　　　　　　　　　　　　　,C  .     ,WINWIN
ウーバーイーツ　　　　　　　　　　　　　うーばーいーつ　　　　　　　　　　　　　,N 5.     ,
ウーブン・シティー　　　　　　　　　　　うーぶん・してぃー　　　　　　　　　　　,N 5.     ,Woven City先端技術実験都市
ウェビナー　　　　　　　　　　　　　　　うぇびなー　　　　　　　　　　　　　　　,N 1.     ,ウェブ＋セミナー
ウェブサイト　　　　　　　　　　　　　　うぇぶさいと　　　　　　　　　　　　　　,N 1.     ,
ウェルビーイング　　　　　　　　　　　　うぇるびーいんぐ　　　　　　　　　　　　,N 1.     ,社会的に良好な状態
ウエアラブル　　　　　　　　　　　　　　うえあらぶる　　　　　　　　　　　　　　,C  .     ,
ウエアラブルセンサー　　　　　　　　　　うえあらぶるせんさー　　　　　　　　　　,N B.     ,ｗｅａｒａｂｌｅ　ｓｅｎｓｏｒ
ウエットスーツ　　　　　　　　　　　　　うえっとすーつ　　　　　　　　　　　　　,N B.     ,Ｗｅｔ　ｓｕｉｔ
ウエブカメラ　　　　　　　　　　　　　　うえぶかめら　　　　　　　　　　　　　　,N B.     ,
ウエポン　　　　　　　　　　　　　　　　うえぽん　　　　　　　　　　　　　　　　,N B.     ,武器
ウォータープルーフ　　　　　　　　　　　うぉーたーぷるーふ　　　　　　　　　　　,N 1.     ,
浮き輪　　　　　　　　　　　　　　　　　うきわ　　　　　　　　　　　　　　　　　,N B.     ,
うだるような　　　　　　　　　　　　　　うだるような　　　　　　　　　　　　　　,R  .  N  ,
宇宙エレベーター　　　　　　　　　　　　うちゅうえれべーたー　　　　　　　　　　,N B.     ,
宇宙ごみ　　　　　　　　　　　　　　　　うちゅうごみ　　　　　　　　　　　　　　,N B.  N  ,
宇宙酔い　　　　　　　　　　　　　　　　うちゅうよい　　　　　　　　　　　　　　,N 1.  N  ,
宇宙ヨット　　　　　　　　　　　　　　　うちゅうよっと　　　　　　　　　　　　　,N B.     ,
宇宙論　　　　　　　　　　　　　　　　　うちゅうろん　　　　　　　　　　　　　　,N 1.     ,ｃｏｓｍｏｌｏｇｙ
映り込み　　　　　　　　　　　　　　　　うつりこみ　　　　　　　　　　　　　　　,N 1.  N  ,
うまみがある　　　　　　　　　　　　　　うまみがある　　　　　　　　　　　　　　,D R.  P  ,
売り尽くし　　　　　　　　　　　　　　　うりつくし　　　　　　　　　　　　　　　,N 1.     ,
売り手市場　　　　　　　　　　　　　　　うりてしじょう　　　　　　　　　　　　　,N 5.     ,
ウルトラファインバブル　　　　　　　　　うるとらふぁいんばぶる　　　　　　　　　,N B.     ,
運動野　　　　　　　　　　　　　　　　　うんどうや　　　　　　　　　　　　　　　,N B.     ,ｍｏｔｏｒ　ｃｏｒｔｅｘ
エアアロゲル　　　　　　　　　　　　　　えああろげる　　　　　　　　　　　　　　,N B.     ,
エアロゲル　　　　　　　　　　　　　　　えあろげる　　　　　　　　　　　　　　　,N B.     ,断熱剤
エアロゾル　　　　　　　　　　　　　　　えあろぞる　　　　　　　　　　　　　　　,N B.     ,断熱剤
エイジズム　　　　　　　　　　　　　　　えいじずむ　　　　　　　　　　　　　　　,N 1.     ,年齢にもとづく差別・偏見
衛星測位システム　　　　　　　　　　　　えいせいそくいしすてむ　　　　　　　　　,N B.     ,
ＡＤＨＤ　　　　　　　　　　　　　　　　えいでぃーえいちでぃー　　　　　　　　　,N 1.     ,注意欠如・多動症
ＡＰＥＣ　　　　　　　　　　　　　　　　えいぺっく　　　　　　　　　　　　　　　,N 1.     ,アジア太平洋経済協力
ＡＲ　　　　　　　　　　　　　　　　　　えーあーる　　　　　　　　　　　　　　　,N 1.     ,Ａｕｇｍｅｎｔｅｄ　Ｒｅａｌｉｔｙ
ＡＩ　　　　　　　　　　　　　　　　　　えーあい　　　　　　　　　　　　　　　　,N 1.     ,Ａｒｔｉｆｉｃｉａｌ　Ｉｎｔｅｌｌｉｇｅｎｃｅ
ＡＩスピーカー　　　　　　　　　　　　　えーあいすぴーかー　　　　　　　　　　　,N B.     ,
ＡＥＤ　　　　　　　　　　　　　　　　　えーいーでぃー　　　　　　　　　　　　　,N 1.     ,自動体外式除細動器
ＡＳＣ細胞　　　　　　　　　　　　　　　えーえししーさいぼう　　　　　　　　　　,N B.     ,培養脂肪幹細胞
ＡＬＳ　　　　　　　　　　　　　　　　　えーえるえす　　　　　　　　　　　　　　,N 1.     ,筋萎縮性側索硬化症
Ａ２ミルク　　　　　　　　　　　　　　　えーつーみるく　　　　　　　　　　　　　,N B.     ,お腹に優しいミルクティー
ＡＴＰ　　　　　　　　　　　　　　　　　えーてぃーぴー　　　　　　　　　　　　　,N B.     ,生体のエネルギー通貨
ＥＰＡ　　　　　　　　　　　　　　　　　えーぴーえー　　　　　　　　　　　　　　,N 1.     ,経済連携協定
ＡＰＤ　　　　　　　　　　　　　　　　　えーぴーでぃ　　　　　　　　　　　　　　,N 1.     ,聴覚情報処理障害 
ＡＵ　　　　　　　　　　　　　　　　　　えーゆー　　　　　　　　　　　　　　　　,N 5.  5  ,
エキセントリック　　　　　　　　　　　　えきせんとりっく　　　　　　　　　　　　,C  .     ,奇矯な
駅ナカ　　　　　　　　　　　　　　　　　えきなか　　　　　　　　　　　　　　　　,N 7.  5  ,
液卵　　　　　　　　　　　　　　　　　　えきらん　　　　　　　　　　　　　　　　,N 1.     ,
エクスプロージョン　　　　　　　　　　　えくすぷろーじょん　　　　　　　　　　　,N 1.     ,ｅｘｐｌｏｓｉｏｎ,爆発性の
エクセル　　　　　　　　　　　　　　　　えくせる　　　　　　　　　　　　　　　　,N 1.     ,Ｅｘｃｅｌ
